"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"IL",1,0,1,"PONTE",0
"NO",2,0,1,"PONTE",0
"GON",3,0,1,"PONTE",0
"È",4,0,1,"PONTE",0
"BO",5,0,1,"PONTE",0
"CA",6,0,1,"PONTE",0
"È",1,0,2,"PONTE",0
"IL",2,0,2,"PONTE",0
"SA",3,0,2,"PONTE",0
"DO",4,0,2,"PONTE",0
"LU",5,0,2,"PONTE",0
"È",6,0,2,"PONTE",0
"IL",1,0,3,"PONTE",0
"VI",2,0,3,"PONTE",0
"È",3,0,3,"PONTE",0
"TO",4,0,3,"PONTE",0
"È",5,0,3,"PONTE",0
"STAN",6,0,3,"PONTE",0
"FIA",1,0,4,"PONTE",0
"MA",2,0,4,"PONTE",0
"ZO",3,0,4,"PONTE",0
"CAL",4,0,4,"PONTE",0
"NO",5,0,4,"PONTE",0
"LO",6,0,4,"PONTE",0
"IL",1,0,5,"PONTE",0
"MAN",2,0,5,"PONTE",0
"GOM",3,0,5,"PONTE",0
"CO",4,0,5,"PONTE",0
"VE",5,0,5,"PONTE",0
"IL",6,0,5,"PONTE",0
"GIO",1,0,6,"PONTE",0
"TE",2,0,6,"PONTE",0
"BAS",3,0,6,"PONTE",0
"IL",4,0,6,"PONTE",0
"SA",5,0,6,"PONTE",0
"SPOR",6,0,6,"PONTE",0
"NO",1,0,7,"PONTE",0
"GRI",2,0,7,"PONTE",0
"ROS",3,0,7,"PONTE",0
"NO",4,0,7,"PONTE",0
"IL",5,0,7,"PONTE",0
"È",6,0,7,"PONTE",0
"VUO",1,0,8,"PONTE",0
"È",2,0,8,"PONTE",0
"NON",3,0,8,"PONTE",0
"RO",4,0,8,"PONTE",0
"SO",5,0,8,"PONTE",0
"È",6,0,8,"PONTE",0
"PON",1,0,9,"PONTE",0
"È",2,0,9,"PONTE",0
"GAN",3,0,9,"PONTE",0
"PO",4,0,9,"PONTE",0
NA,5,0,9,"PONTE",0
"CLI",6,0,9,"PONTE",0
"È",1,0,10,"PONTE",0
"GROS",2,0,10,"PONTE",0
"LO",3,0,10,"PONTE",0
"IL",4,0,10,"PONTE",0
"MA",5,0,10,"PONTE",0
"LA",6,0,10,"PONTE",0
"BOM",1,0,11,"PONTE",0
"STE",2,0,11,"PONTE",0
"DRIT",3,0,11,"PONTE",0
"È",4,0,11,"PONTE",0
"LA",5,0,11,"PONTE",0
"TO",6,0,11,"PONTE",0
"LA",1,0,12,"PONTE",0
"FOR",2,0,12,"PONTE",0
"SO",3,0,12,"PONTE",0
"BAR",4,0,12,"PONTE",0
"È",5,0,12,"PONTE",0
"BUO",6,0,12,"PONTE",0
