"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"GNO",1,0,1,"CORTO",0
"IL",2,0,1,"CORTO",0
"SO",3,0,1,"CORTO",0
"SA",4,0,1,"CORTO",0
"COR",5,0,1,"CORTO",0
"LA",6,0,1,"CORTO",0
"CER",1,0,2,"CORTO",0
"È",2,0,2,"CORTO",0
"PU",3,0,2,"CORTO",0
"SA",4,0,2,"CORTO",0
"COR",5,0,2,"CORTO",0
"IL",6,0,2,"CORTO",0
"CHIU",1,0,3,"CORTO",0
"TO",2,0,3,"CORTO",0
"LA",3,0,3,"CORTO",0
"PA",4,0,3,"CORTO",0
"È",5,0,3,"CORTO",0
"VO",6,0,3,"CORTO",0
"POL",1,0,4,"CORTO",0
"È",2,0,4,"CORTO",0
"PRE",3,0,4,"CORTO",0
"LA",4,0,4,"CORTO",0
"PO",5,0,4,"CORTO",0
"IL",6,0,4,"CORTO",0
"STO",1,0,5,"CORTO",0
"TO",2,0,5,"CORTO",0
"È",3,0,5,"CORTO",0
"STO",4,0,5,"CORTO",0
"È",5,0,5,"CORTO",0
"DIO",6,0,5,"CORTO",0
"IL",1,0,6,"CORTO",0
"È",2,0,6,"CORTO",0
"PE",3,0,6,"CORTO",0
"LE",4,0,6,"CORTO",0
"È",5,0,6,"CORTO",0
"RA",6,0,6,"CORTO",0
"ROS",1,0,7,"CORTO",0
"IL",2,0,7,"CORTO",0
"LA",3,0,7,"CORTO",0
"PRAN",4,0,7,"CORTO",0
"IL",5,0,7,"CORTO",0
"SPEN",6,0,7,"CORTO",0
"ZO",1,0,8,"CORTO",0
"RA",2,0,8,"CORTO",0
"SA",3,0,8,"CORTO",0
"STOR",4,0,8,"CORTO",0
"FIS",5,0,8,"CORTO",0
"È",6,0,8,"CORTO",0
"TA",1,0,9,"CORTO",0
"GRA",2,0,9,"CORTO",0
"PO",3,0,9,"CORTO",0
"DE",4,0,9,"CORTO",0
NA,5,0,9,"CORTO",0
"VE",6,0,9,"CORTO",0
"È",1,0,10,"CORTO",0
"TO",2,0,10,"CORTO",0
"LA",3,0,10,"CORTO",0
"È",4,0,10,"CORTO",0
"RAG",5,0,10,"CORTO",0
"IL",6,0,10,"CORTO",0
"TO",1,0,11,"CORTO",0
"È",2,0,11,"CORTO",0
"SO",3,0,11,"CORTO",0
"PRON",4,0,11,"CORTO",0
"È",5,0,11,"CORTO",0
"SO",6,0,11,"CORTO",0
"BEL",1,0,12,"CORTO",0
"TA",2,0,12,"CORTO",0
"GIO",3,0,12,"CORTO",0
"PIE",4,0,12,"CORTO",0
"LA",5,0,12,"CORTO",0
"RA",6,0,12,"CORTO",0
