"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"SO",1,0,1,"CODA",1
"AL",2,0,1,"CODA",1
"DO",3,0,1,"CODA",1
"STA",4,0,1,"CODA",1
"LO",5,0,1,"CODA",1
"STRUT",6,0,1,"CODA",1
"È",1,0,2,"CODA",1
"LUN",2,0,2,"CODA",1
"NO",3,0,2,"CODA",1
"BRUT",4,0,2,"CODA",1
"STRI",5,0,2,"CODA",1
"LO",6,0,2,"CODA",1
"STA",1,0,3,"CODA",1
"SPO",2,0,3,"CODA",1
"SUO",3,0,3,"CODA",1
"LA",4,0,3,"CODA",1
"È",5,0,3,"CODA",1
"CO",6,0,3,"CODA",1
"LO",1,0,4,"CODA",1
"TO",2,0,4,"CODA",1
"È",3,0,4,"CODA",1
"PA",4,0,4,"CODA",1
"SCOT",5,0,4,"CODA",1
"DA",6,0,4,"CODA",1
"FA",1,0,5,"CODA",1
"È",2,0,5,"CODA",1
"LA",3,0,5,"CODA",1
"IL",4,0,5,"CODA",1
"È",5,0,5,"CODA",1
"CO",6,0,5,"CODA",1
"DA",1,0,6,"CODA",1
"LO",2,0,6,"CODA",1
"CO",3,0,6,"CODA",1
"GIO",4,0,6,"CODA",1
"VER",5,0,6,"CODA",1
"TO",6,0,6,"CODA",1
"IL",1,0,7,"CODA",1
"È",2,0,7,"CODA",1
"DE",3,0,7,"CODA",1
"BIAN",4,0,7,"CODA",1
"È",5,0,7,"CODA",1
"LO",6,0,7,"CODA",1
"TA",1,0,8,"CODA",1
"TO",2,0,8,"CODA",1
"STU",3,0,8,"CODA",1
"CAL",4,0,8,"CODA",1
"CO",5,0,8,"CODA",1
"IL",6,0,8,"CODA",1
"RIC",1,0,9,"CODA",1
"GRAS",2,0,9,"CODA",1
"LA",3,0,9,"CODA",1
"TA",4,0,9,"CODA",1
"LO",5,0,9,"CODA",1
"È",6,0,9,"CODA",1
"GA",1,0,10,"CODA",1
"GRAN",2,0,10,"CODA",1
"GNO",3,0,10,"CODA",1
"È",4,0,10,"CODA",1
"GRI",5,0,10,"CODA",1
"LA",6,0,10,"CODA",1
"È",1,0,11,"CODA",1
"STUC",2,0,11,"CODA",1
"SCIA",3,0,11,"CODA",1
"GRI",4,0,11,"CODA",1
"STRA",5,0,11,"CODA",1
"SO",6,0,11,"CODA",1
"STA",1,0,12,"CODA",1
"È",2,0,12,"CODA",1
"DE",3,0,12,"CODA",1
"GIO",4,0,12,"CODA",1
"È",5,0,12,"CODA",1
"STRA",6,0,12,"CODA",1
