"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"UN",1,0,1,"VECCHIA",1
"PAC",2,0,1,"VECCHIA",1
"CO",3,0,1,"VECCHIA",1
"È",4,0,1,"VECCHIA",1
"GIUN",5,0,1,"VECCHIA",1
"TO",6,0,1,"VECCHIA",1
"IL",1,0,2,"VECCHIA",1
"KI",2,0,2,"VECCHIA",1
"WI",3,0,2,"VECCHIA",1
"È",4,0,2,"VECCHIA",1
"A",5,0,2,"VECCHIA",1
"SPRO",6,0,2,"VECCHIA",1
"IL",1,0,3,"VECCHIA",1
"TA",2,0,3,"VECCHIA",1
"GLIO",3,0,3,"VECCHIA",1
"È",4,0,3,"VECCHIA",1
"NET",5,0,3,"VECCHIA",1
"TO",6,0,3,"VECCHIA",1
"IL",1,0,4,"VECCHIA",1
"SO",2,0,4,"VECCHIA",1
"LE",3,0,4,"VECCHIA",1
"È",4,0,4,"VECCHIA",1
"CAL",5,0,4,"VECCHIA",1
"DO",6,0,4,"VECCHIA",1
"LA",1,0,5,"VECCHIA",1
"NO",2,0,5,"VECCHIA",1
"IA",3,0,5,"VECCHIA",1
"È",4,0,5,"VECCHIA",1
"BRUT",5,0,5,"VECCHIA",1
"TA",6,0,5,"VECCHIA",1
"IL",1,0,6,"VECCHIA",1
"NO",2,0,6,"VECCHIA",1
"ME",3,0,6,"VECCHIA",1
"È",4,0,6,"VECCHIA",1
"PRO",5,0,6,"VECCHIA",1
"PRIO",6,0,6,"VECCHIA",1
"LA",1,0,7,"VECCHIA",1
"ME",2,0,7,"VECCHIA",1
"LA",3,0,7,"VECCHIA",1
"È",4,0,7,"VECCHIA",1
"DU",5,0,7,"VECCHIA",1
"RA",6,0,7,"VECCHIA",1
"LA",1,0,8,"VECCHIA",1
"NO",2,0,8,"VECCHIA",1
"TA",3,0,8,"VECCHIA",1
"È",4,0,8,"VECCHIA",1
"AL",5,0,8,"VECCHIA",1
"TA",6,0,8,"VECCHIA",1
"LA",1,0,9,"VECCHIA",1
"NUO",2,0,9,"VECCHIA",1
"RA",3,0,9,"VECCHIA",1
"È",4,0,9,"VECCHIA",1
"VEC",5,0,9,"VECCHIA",1
"CHIA",6,0,9,"VECCHIA",1
"LA",1,0,10,"VECCHIA",1
"ZUP",2,0,10,"VECCHIA",1
"PA",3,0,10,"VECCHIA",1
"È",4,0,10,"VECCHIA",1
"PRON",5,0,10,"VECCHIA",1
"TA",6,0,10,"VECCHIA",1
"LA",1,0,11,"VECCHIA",1
"LU",2,0,11,"VECCHIA",1
"CE",3,0,11,"VECCHIA",1
"È",4,0,11,"VECCHIA",1
"BIAN",5,0,11,"VECCHIA",1
"CA",6,0,11,"VECCHIA",1
"LA",1,0,12,"VECCHIA",1
"STAN",2,0,12,"VECCHIA",1
"ZA",3,0,12,"VECCHIA",1
"È",4,0,12,"VECCHIA",1
"GRAN",5,0,12,"VECCHIA",1
"DE",6,0,12,"VECCHIA",1
