"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"A",1,0,1,"SPADA",1
"RE",2,0,1,"SPADA",1
"SE",3,0,1,"SPADA",1
"LA",4,0,1,"SPADA",1
"CA",5,0,1,"SPADA",1
"MA",6,0,1,"SPADA",1
"POP",1,0,2,"SPADA",1
"TO",2,0,2,"SPADA",1
"SO",3,0,2,"SPADA",1
"NIO",4,0,2,"SPADA",1
"RA",5,0,2,"SPADA",1
"SE",6,0,2,"SPADA",1
"LE",1,0,3,"SPADA",1
"TE",2,0,3,"SPADA",1
"I",3,0,3,"SPADA",1
"NUO",4,0,3,"SPADA",1
"SI",5,0,3,"SPADA",1
"IO",6,0,3,"SPADA",1
"CORN",1,0,4,"SPADA",1
"NE",2,0,4,"SPADA",1
"LA",3,0,4,"SPADA",1
"FA",4,0,4,"SPADA",1
NA,5,0,4,"SPADA",1
"CON",6,0,4,"SPADA",1
"LU",1,0,5,"SPADA",1
"GNA",2,0,5,"SPADA",1
"SCAL",3,0,5,"SPADA",1
"TO",4,0,5,"SPADA",1
"TI",5,0,5,"SPADA",1
"GNE",6,0,5,"SPADA",1
"LA",1,0,6,"SPADA",1
"LU",2,0,6,"SPADA",1
"MI",3,0,6,"SPADA",1
"LO",4,0,6,"SPADA",1
"VA",5,0,6,"SPADA",1
"TA",6,0,6,"SPADA",1
"DO",1,0,7,"SPADA",1
"VA",2,0,7,"SPADA",1
"I",3,0,7,"SPADA",1
"VA",4,0,7,"SPADA",1
"DA",5,0,7,"SPADA",1
"MIEI",6,0,7,"SPADA",1
"NIE",1,0,8,"SPADA",1
"CON",2,0,8,"SPADA",1
"PO",3,0,8,"SPADA",1
NA,4,0,8,"SPADA",1
"SPA",5,0,8,"SPADA",1
"DA",6,0,8,"SPADA",1
"VA",1,0,9,"SPADA",1
"GLIO",2,0,9,"SPADA",1
"COR",3,0,9,"SPADA",1
"AF",4,0,9,"SPADA",1
"GIA",5,0,9,"SPADA",1
"IL",6,0,9,"SPADA",1
"AN",1,0,10,"SPADA",1
"QUI",2,0,10,"SPADA",1
"VA",3,0,10,"SPADA",1
"QUI",4,0,10,"SPADA",1
"CHE",5,0,10,"SPADA",1
"CHIA",6,0,10,"SPADA",1
" È	",1,0,11,"SPADA",1
"MAN",2,0,11,"SPADA",1
"LA",3,0,11,"SPADA",1
"NI",4,0,11,"SPADA",1
"NON",5,0,11,"SPADA",1
"CU",6,0,11,"SPADA",1
"PAR",1,0,12,"SPADA",1
"IO",2,0,12,"SPADA",1
"STA",3,0,12,"SPADA",1
"MA",4,0,12,"SPADA",1
"CI",5,0,12,"SPADA",1
"LO",6,0,12,"SPADA",1
