"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"DI",1,0,1,"PELA",0
"SE",2,0,1,"PELA",0
"GNA",3,0,1,"PELA",0
"FU",4,0,1,"PELA",0
"MET",5,0,1,"PELA",0
"TI",6,0,1,"PELA",0
"IL",1,0,2,"PELA",0
"GAL",2,0,2,"PELA",0
"LO",3,0,2,"PELA",0
"FUG",4,0,2,"PELA",0
"GI",5,0,2,"PELA",0
"VA",6,0,2,"PELA",0
"PIAN",1,0,3,"PELA",0
"TA",2,0,3,"PELA",0
"VA",3,0,3,"PELA",0
"PE",4,0,3,"PELA",0
"TU",5,0,3,"PELA",0
"NIE",6,0,3,"PELA",0
"LA",1,0,4,"PELA",0
"STEL",2,0,4,"PELA",0
"LA",3,0,4,"PELA",0
"BRIL",4,0,4,"PELA",0
"LA",5,0,4,"PELA",0
"VA",6,0,4,"PELA",0
"SBOC",1,0,5,"PELA",0
"CIA",2,0,5,"PELA",0
"VA",3,0,5,"PELA",0
"UN",4,0,5,"PELA",0
"FIO",5,0,5,"PELA",0
"RE",6,0,5,"PELA",0
"LO",1,0,6,"PELA",0
"PEN",2,0,6,"PELA",0
"SO",3,0,6,"PELA",0
"AN",4,0,6,"PELA",0
"CO",5,0,6,"PELA",0
"RA",6,0,6,"PELA",0
"MAN",1,0,7,"PELA",0
"GE",2,0,7,"PELA",0
"RÀ",3,0,7,"PELA",0
"LO",4,0,7,"PELA",0
"YO",5,0,7,"PELA",0
"GURT",6,0,7,"PELA",0
"LA",1,0,8,"PELA",0
"SE",2,0,8,"PELA",0
"RA",3,0,8,"PELA",0
"CU",4,0,8,"PELA",0
"CI",5,0,8,"PELA",0
"VA",6,0,8,"PELA",0
"RI",1,0,9,"PELA",0
"DE",2,0,9,"PELA",0
"VA",3,0,9,"PELA",0
"LA",4,0,9,"PELA",0
"BIM",5,0,9,"PELA",0
"BA",6,0,9,"PELA",0
"U",1,0,10,"PELA",0
"SE",2,0,10,"PELA",0
"RÀ",3,0,10,"PELA",0
"LA",4,0,10,"PELA",0
"BI",5,0,10,"PELA",0
"CI",6,0,10,"PELA",0
"LA",1,0,11,"PELA",0
"GUAR",2,0,11,"PELA",0
"DO",3,0,11,"PELA",0
"STA",4,0,11,"PELA",0
"NOT",5,0,11,"PELA",0
"TE",6,0,11,"PELA",0
"IL",1,0,12,"PELA",0
"FIU",2,0,12,"PELA",0
"ME",3,0,12,"PELA",0
"SCOR",4,0,12,"PELA",0
"RE",5,0,12,"PELA",0
"RÀ",6,0,12,"PELA",0
