"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"PO",1,0,1,"PRESTO",1
"LA",2,0,1,"PRESTO",1
"RA",3,0,1,"PRESTO",1
"POL",4,0,1,"PRESTO",1
"SA",5,0,1,"PRESTO",1
"IL",6,0,1,"PRESTO",1
"SA",1,0,2,"PRESTO",1
"È",2,0,2,"PRESTO",1
"STOR",3,0,2,"PRESTO",1
"GIO",4,0,2,"PRESTO",1
"PO",5,0,2,"PRESTO",1
"TO",6,0,2,"PRESTO",1
"È",1,0,3,"PRESTO",1
"LA",2,0,3,"PRESTO",1
"SPEN",3,0,3,"PRESTO",1
"È",4,0,3,"PRESTO",1
"SO",5,0,3,"PRESTO",1
"STO",6,0,3,"PRESTO",1
"TO",1,0,4,"PRESTO",1
"ZO",2,0,4,"PRESTO",1
"È",3,0,4,"PRESTO",1
"PRAN",4,0,4,"PRESTO",1
"PIE",5,0,4,"PRESTO",1
"DIO",6,0,4,"PRESTO",1
"IL",1,0,5,"PRESTO",1
"DE",2,0,5,"PRESTO",1
"TO",3,0,5,"PRESTO",1
"È",4,0,5,"PRESTO",1
"COR",5,0,5,"PRESTO",1
"FIS",6,0,5,"PRESTO",1
"ROS",1,0,6,"PRESTO",1
"PRE",2,0,6,"PRESTO",1
"STO",3,0,6,"PRESTO",1
"PE",4,0,6,"PRESTO",1
"È",5,0,6,"PRESTO",1
"IL",6,0,6,"PRESTO",1
"SO",1,0,7,"PRESTO",1
"CER",2,0,7,"PRESTO",1
"IL",3,0,7,"PRESTO",1
"RA",4,0,7,"PRESTO",1
"LA",5,0,7,"PRESTO",1
"È",6,0,7,"PRESTO",1
"CHIU",1,0,8,"PRESTO",1
"COR",2,0,8,"PRESTO",1
"È",3,0,8,"PRESTO",1
"SA",4,0,8,"PRESTO",1
"PRON",5,0,8,"PRESTO",1
"LA",6,0,8,"PRESTO",1
"RA",1,0,9,"PRESTO",1
"PU",2,0,9,"PRESTO",1
"È",3,0,9,"PRESTO",1
NA,4,0,9,"PRESTO",1
"IL",5,0,9,"PRESTO",1
"GRA",6,0,9,"PRESTO",1
"LA",1,0,10,"PRESTO",1
"RAG",2,0,10,"PRESTO",1
"TO",3,0,10,"PRESTO",1
"LE",4,0,10,"PRESTO",1
"È",5,0,10,"PRESTO",1
"LA",6,0,10,"PRESTO",1
"TA",1,0,11,"PRESTO",1
"IL",2,0,11,"PRESTO",1
"È",3,0,11,"PRESTO",1
"GNO",4,0,11,"PRESTO",1
"VE",5,0,11,"PRESTO",1
"PA",6,0,11,"PRESTO",1
"IL",1,0,12,"PRESTO",1
"BEL",2,0,12,"PRESTO",1
"SO",3,0,12,"PRESTO",1
"TA",4,0,12,"PRESTO",1
"È",5,0,12,"PRESTO",1
"VO",6,0,12,"PRESTO",1
