"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"È",1,0,1,"TERSE",1
"VER",2,0,1,"TERSE",1
"LA",3,0,1,"TERSE",1
"GLIA",4,0,1,"TERSE",1
"TE",5,0,1,"TERSE",1
"SCO",6,0,1,"TERSE",1
"SA",1,0,2,"TERSE",1
"FO",2,0,2,"TERSE",1
"DOL",3,0,2,"TERSE",1
"LA",4,0,2,"TERSE",1
"VO",5,0,2,"TERSE",1
"GNO",6,0,2,"TERSE",1
"TE",1,0,3,"TERSE",1
"È",2,0,3,"TERSE",1
"GRAN",3,0,3,"TERSE",1
"TO",4,0,3,"TERSE",1
"TA",5,0,3,"TERSE",1
"LA",6,0,3,"TERSE",1
"DE",1,0,4,"TERSE",1
"CE",2,0,4,"TERSE",1
"È",3,0,4,"TERSE",1
"PEN",4,0,4,"TERSE",1
"SEC",5,0,4,"TERSE",1
"È",6,0,4,"TERSE",1
"BRE",1,0,5,"TERSE",1
"RA",2,0,5,"TERSE",1
"NO",3,0,5,"TERSE",1
"IL",4,0,5,"TERSE",1
"LA",5,0,5,"TERSE",1
"È",6,0,5,"TERSE",1
"IL",1,0,6,"TERSE",1
"NOT",2,0,6,"TERSE",1
"RA",3,0,6,"TERSE",1
"CA",4,0,6,"TERSE",1
"È",5,0,6,"TERSE",1
"VI",6,0,6,"TERSE",1
"VA",1,0,7,"TERSE",1
"RA",2,0,7,"TERSE",1
"IA",3,0,7,"TERSE",1
"DO",4,0,7,"TERSE",1
"È",5,0,7,"TERSE",1
"NE",6,0,7,"TERSE",1
"STO",1,0,8,"TERSE",1
"LA",2,0,8,"TERSE",1
"È",3,0,8,"TERSE",1
"DE",4,0,8,"TERSE",1
"È",5,0,8,"TERSE",1
"BO",6,0,8,"TERSE",1
"CAN",1,0,9,"TERSE",1
"RO",2,0,9,"TERSE",1
"MON",3,0,9,"TERSE",1
"LA",4,0,9,"TERSE",1
"È",5,0,9,"TERSE",1
"VE",6,0,9,"TERSE",1
"LA",1,0,10,"TERSE",1
"MA",2,0,10,"TERSE",1
"LA",3,0,10,"TERSE",1
"CHIA",4,0,10,"TERSE",1
"LA",5,0,10,"TERSE",1
"È",6,0,10,"TERSE",1
"GIAL",1,0,11,"TERSE",1
"BU",2,0,11,"TERSE",1
"COL",3,0,11,"TERSE",1
"IL",4,0,11,"TERSE",1
"CE",5,0,11,"TERSE",1
"IL",6,0,11,"TERSE",1
"TER",1,0,12,"TERSE",1
"SE",2,0,12,"TERSE",1
"È",3,0,12,"TERSE",1
NA,4,0,12,"TERSE",1
"LA",5,0,12,"TERSE",1
"CHIA",6,0,12,"TERSE",1
