"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"CHIA",1,0,1,"PISTA",0
"LA",2,0,1,"PISTA",0
"È",3,0,1,"PISTA",0
"GRO",4,0,1,"PISTA",0
"CA",5,0,1,"PISTA",0
"IL",6,0,1,"PISTA",0
"È",1,0,2,"PISTA",0
"STA",2,0,2,"PISTA",0
"TA",3,0,2,"PISTA",0
"SA",4,0,2,"PISTA",0
"PI",5,0,2,"PISTA",0
"IL",6,0,2,"PISTA",0
"DUB",1,0,3,"PISTA",0
"RIC",2,0,3,"PISTA",0
"RET",3,0,3,"PISTA",0
"CIA",4,0,3,"PISTA",0
"TA",5,0,3,"PISTA",0
"NA",6,0,3,"PISTA",0
"CIO",1,0,4,"PISTA",0
"MO",2,0,4,"PISTA",0
"SO",3,0,4,"PISTA",0
"SPRA",4,0,4,"PISTA",0
"È",5,0,4,"PISTA",0
"IL",6,0,4,"PISTA",0
"LA",1,0,5,"PISTA",0
"NON",2,0,5,"PISTA",0
"È",3,0,5,"PISTA",0
"ROC",4,0,5,"PISTA",0
"È",5,0,5,"PISTA",0
"SPOR",6,0,5,"PISTA",0
"PA",1,0,6,"PISTA",0
"È",2,0,6,"PISTA",0
"SA",3,0,6,"PISTA",0
"TA",4,0,6,"PISTA",0
"VEC",5,0,6,"PISTA",0
"SA",6,0,6,"PISTA",0
"RIS",1,0,7,"PISTA",0
"LÒ",2,0,7,"PISTA",0
"IL",3,0,7,"PISTA",0
"LA",4,0,7,"PISTA",0
"BAS",5,0,7,"PISTA",0
"DO",6,0,7,"PISTA",0
"CO",1,0,8,"PISTA",0
"CIE",2,0,8,"PISTA",0
"LA",3,0,8,"PISTA",0
"DO",4,0,8,"PISTA",0
"È",5,0,8,"PISTA",0
"A",6,0,8,"PISTA",0
"È",1,0,9,"PISTA",0
"BIA",2,0,9,"PISTA",0
"È",3,0,9,"PISTA",0
"SA",4,0,9,"PISTA",0
"TAS",5,0,9,"PISTA",0
"CA",6,0,9,"PISTA",0
"È",1,0,10,"PISTA",0
"LA",2,0,10,"PISTA",0
"AL",3,0,10,"PISTA",0
"CAL",4,0,10,"PISTA",0
"VI",5,0,10,"PISTA",0
"È",6,0,10,"PISTA",0
"LA",1,0,11,"PISTA",0
"TAL",2,0,11,"PISTA",0
"FA",3,0,11,"PISTA",0
"LA",4,0,11,"PISTA",0
"LE",5,0,11,"PISTA",0
"TAS",6,0,11,"PISTA",0
"TO",1,0,12,"PISTA",0
"LA",2,0,12,"PISTA",0
"STO",3,0,12,"PISTA",0
"TON",4,0,12,"PISTA",0
"RIT",5,0,12,"PISTA",0
"È",6,0,12,"PISTA",0
