"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
NA,1,0,1,"GATTO",1
"FRE",2,0,1,"GATTO",1
"CO",3,0,1,"GATTO",1
"NOT",4,0,1,"GATTO",1
"TO",5,0,1,"GATTO",1
"IL",6,0,1,"GATTO",1
"È",1,0,2,"GATTO",1
"RO",2,0,2,"GATTO",1
"VOL",3,0,2,"GATTO",1
"CO",4,0,2,"GATTO",1
"RE",5,0,2,"GATTO",1
"È",6,0,2,"GATTO",1
"SCO",1,0,3,"GATTO",1
"IL",2,0,3,"GATTO",1
"È",3,0,3,"GATTO",1
"BA",4,0,3,"GATTO",1
"È",5,0,3,"GATTO",1
"ROS",6,0,3,"GATTO",1
"TO",1,0,4,"GATTO",1
"SO",2,0,4,"GATTO",1
"DOL",3,0,4,"GATTO",1
"IL",4,0,4,"GATTO",1
"ROT",5,0,4,"GATTO",1
"CA",6,0,4,"GATTO",1
"È",1,0,5,"GATTO",1
"TO",2,0,5,"GATTO",1
"È",3,0,5,"GATTO",1
"LA",4,0,5,"GATTO",1
"GAT",5,0,5,"GATTO",1
"TO",6,0,5,"GATTO",1
"GIAL",1,0,6,"GATTO",1
"VA",2,0,6,"GATTO",1
"È",3,0,6,"GATTO",1
"BIAN",4,0,6,"GATTO",1
"IL",5,0,6,"GATTO",1
"SPOR",6,0,6,"GATTO",1
"IL",1,0,7,"GATTO",1
"LA",2,0,7,"GATTO",1
"SCU",3,0,7,"GATTO",1
"TE",4,0,7,"GATTO",1
"LA",5,0,7,"GATTO",1
"GAT",6,0,7,"GATTO",1
"VEN",1,0,8,"GATTO",1
"SO",2,0,8,"GATTO",1
"È",3,0,8,"GATTO",1
"PE",4,0,8,"GATTO",1
"VE",5,0,8,"GATTO",1
"È",6,0,8,"GATTO",1
"LO",1,0,9,"GATTO",1
"FIO",2,0,9,"GATTO",1
"LO",3,0,9,"GATTO",1
"RA",4,0,9,"GATTO",1
"È",5,0,9,"GATTO",1
"LE",6,0,9,"GATTO",1
"BIAN",1,0,10,"GATTO",1
"CE",2,0,10,"GATTO",1
"IL",3,0,10,"GATTO",1
"È",4,0,10,"GATTO",1
"LA",5,0,10,"GATTO",1
"SO",6,0,10,"GATTO",1
"IL",1,0,11,"GATTO",1
"FUR",2,0,11,"GATTO",1
"NE",3,0,11,"GATTO",1
"CIE",4,0,11,"GATTO",1
"FIO",5,0,11,"GATTO",1
"CHIA",6,0,11,"GATTO",1
"IL",1,0,12,"GATTO",1
"TO",2,0,12,"GATTO",1
"CE",3,0,12,"GATTO",1
"VO",4,0,12,"GATTO",1
"RE",5,0,12,"GATTO",1
"È",6,0,12,"GATTO",1
