"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"CORN",1,0,1,"CORRI",0
"MI",2,0,1,"CORRI",0
"I",3,0,1,"CORRI",0
"SBA",4,0,1,"CORRI",0
"MAR",5,0,1,"CORRI",0
"VA",6,0,1,"CORRI",0
"MIEI",1,0,2,"CORRI",0
"FRAN",2,0,2,"CORRI",0
"VA",3,0,2,"CORRI",0
"SE",4,0,2,"CORRI",0
"NIA",5,0,2,"CORRI",0
"GNO",6,0,2,"CORRI",0
"TUOI",1,0,3,"CORRI",0
"CON",2,0,3,"CORRI",0
"MIA",3,0,3,"CORRI",0
"LA",4,0,3,"CORRI",0
"TE",5,0,3,"CORRI",0
"LUI",6,0,3,"CORRI",0
"TI",1,0,4,"CORRI",0
NA,2,0,4,"CORRI",0
"RA",3,0,4,"CORRI",0
"GLIA",4,0,4,"CORRI",0
"VO",5,0,4,"CORRI",0
"NAC",6,0,4,"CORRI",0
"GO",1,0,5,"CORRI",0
"CO",2,0,5,"CORRI",0
"MI",3,0,5,"CORRI",0
"LEG",4,0,5,"CORRI",0
"RI",5,0,5,"CORRI",0
"CIA",6,0,5,"CORRI",0
"DÀ",1,0,6,"CORRI",0
"NO",2,0,6,"CORRI",0
"CE",3,0,6,"CORRI",0
"MO",4,0,6,"CORRI",0
"COR",5,0,6,"CORRI",0
"LÌ",6,0,6,"CORRI",0
"STA",1,0,7,"CORRI",0
"RIA",2,0,7,"CORRI",0
"NOT",3,0,7,"CORRI",0
"DOR",4,0,7,"CORRI",0
"CIA",5,0,7,"CORRI",0
"PAR",6,0,7,"CORRI",0
"SUO",1,0,8,"CORRI",0
"VE",2,0,8,"CORRI",0
"POP",3,0,8,"CORRI",0
"GIO",4,0,8,"CORRI",0
"DEI",5,0,8,"CORRI",0
"RE",6,0,8,"CORRI",0
"LO",1,0,9,"CORRI",0
"STA",2,0,9,"CORRI",0
"LO",3,0,9,"CORRI",0
"A",4,0,9,"CORRI",0
"GIU",5,0,9,"CORRI",0
"LÌ",6,0,9,"CORRI",0
"DI",1,0,10,"CORRI",0
"NO",2,0,10,"CORRI",0
"SI",3,0,10,"CORRI",0
"DO",4,0,10,"CORRI",0
"VAN",5,0,10,"CORRI",0
"MO",6,0,10,"CORRI",0
"NON",1,0,11,"CORRI",0
"UN",2,0,11,"CORRI",0
"LE",3,0,11,"CORRI",0
"LA",4,0,11,"CORRI",0
"VAI",5,0,11,"CORRI",0
"I",6,0,11,"CORRI",0
"NON",1,0,12,"CORRI",0
"TE",2,0,12,"CORRI",0
"CON",3,0,12,"CORRI",0
"VAI",4,0,12,"CORRI",0
"RA",5,0,12,"CORRI",0
"STO",6,0,12,"CORRI",0
