"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"TO",1,0,1,"TARLO",0
"POS",2,0,1,"TARLO",0
"VUOI",3,0,1,"TARLO",0
"NOT",4,0,1,"TARLO",0
"LO",5,0,1,"TARLO",0
"PÈ",6,0,1,"TARLO",0
"TE",1,0,2,"TARLO",0
"DA",2,0,2,"TARLO",0
"CU",3,0,2,"TARLO",0
"TA",4,0,2,"TARLO",0
"DRO",5,0,2,"TARLO",0
"MO",6,0,2,"TARLO",0
"MIA",1,0,3,"TARLO",0
"BI",2,0,3,"TARLO",0
"SE",3,0,3,"TARLO",0
"AN",4,0,3,"TARLO",0
"BE",5,0,3,"TARLO",0
"SO",6,0,3,"TARLO",0
"VA",1,0,4,"TARLO",0
"BA",2,0,4,"TARLO",0
"ZIA",3,0,4,"TARLO",0
"IL",4,0,4,"TARLO",0
"IO",5,0,4,"TARLO",0
"LA",6,0,4,"TARLO",0
"RU",1,0,5,"TARLO",0
"UN",2,0,5,"TARLO",0
"DE",3,0,5,"TARLO",0
"SOR",4,0,5,"TARLO",0
"STA",5,0,5,"TARLO",0
"GNE",6,0,5,"TARLO",0
"LA",1,0,6,"TARLO",0
"NE",2,0,6,"TARLO",0
"FRAP",3,0,6,"TARLO",0
"VA",4,0,6,"TARLO",0
"LA",5,0,6,"TARLO",0
"RO",6,0,6,"TARLO",0
"LA",1,0,7,"TARLO",0
"BU",2,0,7,"TARLO",0
"SE",3,0,7,"TARLO",0
"LA",4,0,7,"TARLO",0
"RE",5,0,7,"TARLO",0
"DE",6,0,7,"TARLO",0
"CHE",1,0,8,"TARLO",0
"IN",2,0,8,"TARLO",0
"VA",3,0,8,"TARLO",0
"DOR",4,0,8,"TARLO",0
"NIE",5,0,8,"TARLO",0
"SE",6,0,8,"TARLO",0
"NIO",1,0,9,"TARLO",0
"VA",2,0,9,"TARLO",0
"LI",3,0,9,"TARLO",0
"IL",4,0,9,"TARLO",0
"LO",5,0,9,"TARLO",0
"IM",6,0,9,"TARLO",0
"CI",1,0,10,"TARLO",0
"VA",2,0,10,"TARLO",0
"BAN",3,0,10,"TARLO",0
"TI",4,0,10,"TARLO",0
"SO",5,0,10,"TARLO",0
"IO",6,0,10,"TARLO",0
"TAR",1,0,11,"TARLO",0
"VE",2,0,11,"TARLO",0
"SCO",3,0,11,"TARLO",0
"A",4,0,11,"TARLO",0
"VA",5,0,11,"TARLO",0
"LO",6,0,11,"TARLO",0
"COR",1,0,12,"TARLO",0
"LA",2,0,12,"TARLO",0
"CA",3,0,12,"TARLO",0
"MI",4,0,12,"TARLO",0
"DA",5,0,12,"TARLO",0
NA,6,0,12,"TARLO",0
