"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"IL",1,0,1,"RARE",0
"VEN",2,0,1,"RARE",0
"TO",3,0,1,"RARE",0
"È",4,0,1,"RARE",0
"FRE",5,0,1,"RARE",0
"SCO",6,0,1,"RARE",0
"LA",1,0,2,"RARE",0
"VO",2,0,2,"RARE",0
"CE",3,0,2,"RARE",0
"È",4,0,2,"RARE",0
"DOL",5,0,2,"RARE",0
"CE",6,0,2,"RARE",0
"IL",1,0,3,"RARE",0
"SO",2,0,3,"RARE",0
"LE",3,0,3,"RARE",0
"È",4,0,3,"RARE",0
"GIAL",5,0,3,"RARE",0
"LO",6,0,3,"RARE",0
"LA",1,0,4,"RARE",0
"NOT",2,0,4,"RARE",0
"TE",3,0,4,"RARE",0
"È",4,0,4,"RARE",0
"SCU",5,0,4,"RARE",0
"RA",6,0,4,"RARE",0
"IL",1,0,5,"RARE",0
"FIO",2,0,5,"RARE",0
"RE",3,0,5,"RARE",0
"È",4,0,5,"RARE",0
"ROS",5,0,5,"RARE",0
"SO",6,0,5,"RARE",0
"IL",1,0,6,"RARE",0
"GAT",2,0,6,"RARE",0
"TO",3,0,6,"RARE",0
"È",4,0,6,"RARE",0
"BIAN",5,0,6,"RARE",0
"CO",6,0,6,"RARE",0
"IL",1,0,7,"RARE",0
"CIE",2,0,7,"RARE",0
"LO",3,0,7,"RARE",0
"È",4,0,7,"RARE",0
"CHIA",5,0,7,"RARE",0
"RO",6,0,7,"RARE",0
"IL",1,0,8,"RARE",0
"GAT",2,0,8,"RARE",0
"TO",3,0,8,"RARE",0
"È",4,0,8,"RARE",0
"SPOR",5,0,8,"RARE",0
"CO",6,0,8,"RARE",0
"LA",1,0,9,"RARE",0
"VOL",2,0,9,"RARE",0
"PE",3,0,9,"RARE",0
"È",4,0,9,"RARE",0
"FUR",5,0,9,"RARE",0
"BA",6,0,9,"RARE",0
"IL",1,0,10,"RARE",0
"FIO",2,0,10,"RARE",0
"RE",3,0,10,"RARE",0
"È",4,0,10,"RARE",0
NA,5,0,10,"RARE",0
"TO",6,0,10,"RARE",0
"IL",1,0,11,"RARE",0
"VA",2,0,11,"RARE",0
"SO",3,0,11,"RARE",0
"È",4,0,11,"RARE",0
"ROT",5,0,11,"RARE",0
"TO",6,0,11,"RARE",0
"LA",1,0,12,"RARE",0
"NE",2,0,12,"RARE",0
"VE",3,0,12,"RARE",0
"È",4,0,12,"RARE",0
"BIAN",5,0,12,"RARE",0
"CA",6,0,12,"RARE",0
