"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"LA",1,0,1,"DATO",0
"PA",2,0,1,"DATO",0
"STA",3,0,1,"DATO",0
"È",4,0,1,"DATO",0
"SCOT",5,0,1,"DATO",0
"TA",6,0,1,"DATO",0
"LO",1,0,2,"DATO",0
"SPO",2,0,2,"DATO",0
"SO",3,0,2,"DATO",0
"È",4,0,2,"DATO",0
"AL",5,0,2,"DATO",0
"TO",6,0,2,"DATO",0
"LO",1,0,3,"DATO",0
"STA",2,0,3,"DATO",0
"GNO",3,0,3,"DATO",0
"È",4,0,3,"DATO",0
"VER",5,0,3,"DATO",0
"DE",6,0,3,"DATO",0
"LO",1,0,4,"DATO",0
"STA",2,0,4,"DATO",0
"TO",3,0,4,"DATO",0
"È",4,0,4,"DATO",0
"RIC",5,0,4,"DATO",0
"CO",6,0,4,"DATO",0
"IL",1,0,5,"DATO",0
"GIO",2,0,5,"DATO",0
"CO",3,0,5,"DATO",0
"È",4,0,5,"DATO",0
"STRA",5,0,5,"DATO",0
"NO",6,0,5,"DATO",0
"LA",1,0,6,"DATO",0
"STRA",2,0,6,"DATO",0
"DA",3,0,6,"DATO",0
"È",4,0,6,"DATO",0
"BRUT",5,0,6,"DATO",0
"TA",6,0,6,"DATO",0
"LA",1,0,7,"DATO",0
"STU",2,0,7,"DATO",0
"FA",3,0,7,"DATO",0
"È",4,0,7,"DATO",0
"CAL",5,0,7,"DATO",0
"DA",6,0,7,"DATO",0
"LO",1,0,8,"DATO",0
"STRUT",2,0,8,"DATO",0
"TO",3,0,8,"DATO",0
"È",4,0,8,"DATO",0
"GRAS",5,0,8,"DATO",0
"SO",6,0,8,"DATO",0
"LA",1,0,9,"DATO",0
"STRI",2,0,9,"DATO",0
"SCIA",3,0,9,"DATO",0
"È",4,0,9,"DATO",0
"LUN",5,0,9,"DATO",0
"GA",6,0,9,"DATO",0
"IL",1,0,10,"DATO",0
"SUO",2,0,10,"DATO",0
"LO",3,0,10,"DATO",0
"È",4,0,10,"DATO",0
"GRI",5,0,10,"DATO",0
"GIO",6,0,10,"DATO",0
"LO",1,0,11,"DATO",0
"STUC",2,0,11,"DATO",0
"CO",3,0,11,"DATO",0
"È",4,0,11,"DATO",0
"BIAN",5,0,11,"DATO",0
"CO",6,0,11,"DATO",0
"IL",1,0,12,"DATO",0
"GRI",2,0,12,"DATO",0
"DO",3,0,12,"DATO",0
"È",4,0,12,"DATO",0
"GRAN",5,0,12,"DATO",0
"DE",6,0,12,"DATO",0
