"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"COR",1,6,1,"PARTE",1
"RE",2,6,1,"PARTE",1
"VA",3,6,1,"PARTE",1
"VE",4,6,1,"PARTE",1
"LO",5,6,1,"PARTE",1
"CE",6,6,1,"PARTE",1
"NON",1,18,2,"PARTE",1
"VAI",2,18,2,"PARTE",1
"LÌ",3,18,2,"PARTE",1
"CON",4,18,2,"PARTE",1
"I",5,18,2,"PARTE",1
"TUOI",6,18,2,"PARTE",1
"SBA",1,14,3,"PARTE",1
"DI",2,14,3,"PARTE",1
"GLIA",3,14,3,"PARTE",1
"GIO",4,14,3,"PARTE",1
"VAN",5,14,3,"PARTE",1
NA,6,14,3,"PARTE",1
"RI",1,26,4,"PARTE",1
"LEG",2,26,4,"PARTE",1
"GO",3,26,4,"PARTE",1
"LA",4,26,4,"PARTE",1
"STO",5,26,4,"PARTE",1
"RIA",6,26,4,"PARTE",1
"LUI",1,11,5,"PARTE",1
"MI",2,11,5,"PARTE",1
"DÀ",3,11,5,"PARTE",1
"DEI",4,11,5,"PARTE",1
"POP",5,11,5,"PARTE",1
"CORN",6,11,5,"PARTE",1
"CON",1,17,6,"PARTE",1
"I",2,17,6,"PARTE",1
"MIEI",3,17,6,"PARTE",1
"NON",4,17,6,"PARTE",1
"VAI",5,17,6,"PARTE",1
"LÌ",6,17,6,"PARTE",1
"MAR",1,16,7,"PARTE",1
"TI",2,16,7,"PARTE",1
"NO",3,16,7,"PARTE",1
"CO",4,16,7,"PARTE",1
"LO",5,16,7,"PARTE",1
"RA",6,16,7,"PARTE",1
"SI",1,10,8,"PARTE",1
"PAR",2,10,8,"PARTE",1
"TE",3,10,8,"PARTE",1
"A",4,10,8,"PARTE",1
"GIU",5,10,8,"PARTE",1
"GNO",6,10,8,"PARTE",1
"STA",1,15,9,"PARTE",1
"NOT",2,15,9,"PARTE",1
"TE",3,15,9,"PARTE",1
"DOR",4,15,9,"PARTE",1
"MIA",5,15,9,"PARTE",1
"MO",6,15,9,"PARTE",1
"LA",1,29,10,"PARTE",1
"FRAN",2,29,10,"PARTE",1
"CIA",3,29,10,"PARTE",1
"MI",4,29,10,"PARTE",1
"NAC",5,29,10,"PARTE",1
"CIA",6,29,10,"PARTE",1
"VO",1,4,11,"PARTE",1
"LE",2,4,11,"PARTE",1
"VA",3,4,11,"PARTE",1
"UN",4,4,11,"PARTE",1
"DO",5,4,11,"PARTE",1
"NO",6,4,11,"PARTE",1
"SUO",1,27,12,"PARTE",1
"NIA",2,27,12,"PARTE",1
"MO",3,27,12,"PARTE",1
"STA",4,27,12,"PARTE",1
"SE",5,27,12,"PARTE",1
"RA",6,27,12,"PARTE",1
