"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"GRO",1,0,1,"PRATI",1
"VO",2,0,1,"PRATI",1
"MI",3,0,1,"PRATI",1
"MAR",4,0,1,"PRATI",1
"PA",5,0,1,"PRATI",1
"SE",6,0,1,"PRATI",1
"FÈ",1,0,2,"PRATI",1
"QUES",2,0,2,"PRATI",1
"RA",3,0,2,"PRATI",1
"DO",4,0,2,"PRATI",1
"NOI",5,0,2,"PRATI",1
"CAF",6,0,2,"PRATI",1
"VA",1,0,3,"PRATI",1
"VIA",2,0,3,"PRATI",1
"RA",3,0,3,"PRATI",1
"SE",4,0,3,"PRATI",1
"NO",5,0,3,"PRATI",1
"LA",6,0,3,"PRATI",1
"RI",1,0,4,"PRATI",1
"A",2,0,4,"PRATI",1
"BAN",3,0,4,"PRATI",1
"CIR",4,0,4,"PRATI",1
"QUI",5,0,4,"PRATI",1
"NE",6,0,4,"PRATI",1
"IN",1,0,5,"PRATI",1
"GLIO",2,0,5,"PRATI",1
"GA",3,0,5,"PRATI",1
"VA",4,0,5,"PRATI",1
"RO",5,0,5,"PRATI",1
"DA",6,0,5,"PRATI",1
"PRE",1,0,6,"PRATI",1
"SCRI",2,0,6,"PRATI",1
"CO",3,0,6,"PRATI",1
"VA",4,0,6,"PRATI",1
"IL",5,0,6,"PRATI",1
"LE",6,0,6,"PRATI",1
"CO",1,0,7,"PRATI",1
"LO",2,0,7,"PRATI",1
"NAC",3,0,7,"PRATI",1
"UN",4,0,7,"PRATI",1
"TA",5,0,7,"PRATI",1
"STE",6,0,7,"PRATI",1
"FA",1,0,8,"PRATI",1
"LE",2,0,8,"PRATI",1
"PAR",3,0,8,"PRATI",1
"FI",4,0,8,"PRATI",1
"PA",5,0,8,"PRATI",1
"MO",6,0,8,"PRATI",1
"PRA",1,0,9,"PRATI",1
"TI",2,0,9,"PRATI",1
"TE",3,0,9,"PRATI",1
"SE",4,0,9,"PRATI",1
"AL",5,0,9,"PRATI",1
"IO",6,0,9,"PRATI",1
"LE",1,0,10,"PRATI",1
"NE",2,0,10,"PRATI",1
"NIA",3,0,10,"PRATI",1
"COM",4,0,10,"PRATI",1
"IN",5,0,10,"PRATI",1
"TE",6,0,10,"PRATI",1
"NON",1,0,11,"PRATI",1
"GIU",2,0,11,"PRATI",1
"TI",3,0,11,"PRATI",1
"GNO",4,0,11,"PRATI",1
"LO",5,0,11,"PRATI",1
"NE",6,0,11,"PRATI",1
"CIA",1,0,12,"PRATI",1
"LA",2,0,12,"PRATI",1
"FRAN",3,0,12,"PRATI",1
"SI",4,0,12,"PRATI",1
"E",5,0,12,"PRATI",1
"CIA",6,0,12,"PRATI",1
