"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"SPRO",1,0,1,"GIUNTA",1
"CHIA",2,0,1,"GIUNTA",1
"TA",3,0,1,"GIUNTA",1
"CAL",4,0,1,"GIUNTA",1
"TA",5,0,1,"GIUNTA",1
"LA",6,0,1,"GIUNTA",1
"NO",1,0,2,"GIUNTA",1
"È",2,0,2,"GIUNTA",1
"TO",3,0,2,"GIUNTA",1
"LA",4,0,2,"GIUNTA",1
"IL",5,0,2,"GIUNTA",1
"LA",6,0,2,"GIUNTA",1
"NO",1,0,3,"GIUNTA",1
"CO",2,0,3,"GIUNTA",1
"GRAN",3,0,3,"GIUNTA",1
"CA",4,0,3,"GIUNTA",1
"ZA",5,0,3,"GIUNTA",1
"KI",6,0,3,"GIUNTA",1
"DO",1,0,4,"GIUNTA",1
"LU",2,0,4,"GIUNTA",1
"TA",3,0,4,"GIUNTA",1
"È",4,0,4,"GIUNTA",1
"ME",5,0,4,"GIUNTA",1
"VEC",6,0,4,"GIUNTA",1
"LA",1,0,5,"GIUNTA",1
"IL",2,0,5,"GIUNTA",1
"LA",3,0,5,"GIUNTA",1
"GIUN",4,0,5,"GIUNTA",1
"TA",5,0,5,"GIUNTA",1
"È",6,0,5,"GIUNTA",1
"RA",1,0,6,"GIUNTA",1
"LA",2,0,6,"GIUNTA",1
"STAN",3,0,6,"GIUNTA",1
"DU",4,0,6,"GIUNTA",1
"LA",5,0,6,"GIUNTA",1
"È",6,0,6,"GIUNTA",1
"SO",1,0,7,"GIUNTA",1
"RA",2,0,7,"GIUNTA",1
"A",3,0,7,"GIUNTA",1
"È",4,0,7,"GIUNTA",1
"AL",5,0,7,"GIUNTA",1
"IL",6,0,7,"GIUNTA",1
"UN",1,0,8,"GIUNTA",1
"IA",2,0,8,"GIUNTA",1
"È",3,0,8,"GIUNTA",1
"PRIO",4,0,8,"GIUNTA",1
"BRUT",5,0,8,"GIUNTA",1
"È",6,0,8,"GIUNTA",1
"TO",1,0,9,"GIUNTA",1
"DE",2,0,9,"GIUNTA",1
"TA",3,0,9,"GIUNTA",1
"NO",4,0,9,"GIUNTA",1
"È",5,0,9,"GIUNTA",1
"CE",6,0,9,"GIUNTA",1
"È",1,0,10,"GIUNTA",1
"IL",2,0,10,"GIUNTA",1
"È",3,0,10,"GIUNTA",1
"BIAN",4,0,10,"GIUNTA",1
"PRO",5,0,10,"GIUNTA",1
"LE",6,0,10,"GIUNTA",1
"PA",1,0,11,"GIUNTA",1
"WI",2,0,11,"GIUNTA",1
"È",3,0,11,"GIUNTA",1
"PAC",4,0,11,"GIUNTA",1
"GLIO",5,0,11,"GIUNTA",1
"NUO",6,0,11,"GIUNTA",1
"LA",1,0,12,"GIUNTA",1
"ZUP",2,0,12,"GIUNTA",1
"ME",3,0,12,"GIUNTA",1
"PRON",4,0,12,"GIUNTA",1
"È",5,0,12,"GIUNTA",1
"NET",6,0,12,"GIUNTA",1
