"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"DO",1,19,1,"VASO",0
"MA",2,19,1,"VASO",0
"NI",3,19,1,"VASO",0
"IO",4,19,1,"VASO",0
"PAR",5,19,1,"VASO",0
"TO",6,19,1,"VASO",0
"LO",1,3,2,"VASO",0
"MAN",2,3,2,"VASO",0
"GIA",3,3,2,"VASO",0
"MI",4,3,2,"VASO",0
"CHE",5,3,2,"VASO",0
"LE",6,3,2,"VASO",0
"IL",1,9,3,"VASO",0
"CA",2,9,3,"VASO",0
"PO",3,9,3,"VASO",0
"SE",4,9,3,"VASO",0
"NE",5,9,3,"VASO",0
"VA",6,9,3,"VASO",0
"COR",1,14,4,"VASO",0
"RE",2,14,4,"VASO",0
"VA",3,14,4,"VASO",0
"AN",4,14,4,"VASO",0
"TO",5,14,4,"VASO",0
"NIO",6,14,4,"VASO",0
"SE",1,22,5,"VASO",0
"TI",2,22,5,"VASO",0
"VA",3,22,5,"VASO",0
"LO",4,22,5,"VASO",0
"SO",5,22,5,"VASO",0
"IO",6,22,5,"VASO",0
"AF",1,25,6,"VASO",0
"FA",2,25,6,"VASO",0
"MA",3,25,6,"VASO",0
"LA",4,25,6,"VASO",0
"GEN",5,25,6,"VASO",0
"TE",6,25,6,"VASO",0
"DA",1,16,7,"VASO",0
"NIE",2,16,7,"VASO",0
"LA",3,16,7,"VASO",0
"CU",4,16,7,"VASO",0
"CI",5,16,7,"VASO",0
NA,6,16,7,"VASO",0
"CON",1,7,8,"VASO",0
"QUI",2,7,8,"VASO",0
"STA",3,7,8,"VASO",0
"LA",4,7,8,"VASO",0
"SPA",5,7,8,"VASO",0
"GNA",6,7,8,"VASO",0
"A",1,12,9,"VASO",0
"LU",2,12,9,"VASO",0
"GLIO",3,12,9,"VASO",0
"SI",4,12,9,"VASO",0
"NUO",5,12,9,"VASO",0
"TA",6,12,9,"VASO",0
"SCAL",1,24,10,"VASO",0
"DA",2,24,10,"VASO",0
"VA",3,24,10,"VASO",0
"I",4,24,10,"VASO",0
"POP",5,24,10,"VASO",0
"CORN",6,24,10,"VASO",0
"LA",1,1,11,"VASO",0
"LU",2,1,11,"VASO",0
NA,3,1,11,"VASO",0
"È",4,1,11,"VASO",0
"CHIA",5,1,11,"VASO",0
"RA",6,1,11,"VASO",0
"CON",1,17,12,"VASO",0
"I",2,17,12,"VASO",0
"MIEI",3,17,12,"VASO",0
"NON",4,17,12,"VASO",0
"VA",5,17,12,"VASO",0
"QUI",6,17,12,"VASO",0
