"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"CON",1,17,1,"CIRCO",1
"I",2,17,1,"CIRCO",1
"TUOI",3,17,1,"CIRCO",1
"NON",4,17,1,"CIRCO",1
"VAI",5,17,1,"CIRCO",1
"LÌ",6,17,1,"CIRCO",1
"QUEL",1,21,2,"CIRCO",1
"LO",2,21,2,"CIRCO",1
"LÌ",3,21,2,"CIRCO",1
"A",4,21,2,"CIRCO",1
"MA",5,21,2,"CIRCO",1
"ME",6,21,2,"CIRCO",1
"STA",1,15,3,"CIRCO",1
"SE",2,15,3,"CIRCO",1
"RA",3,15,3,"CIRCO",1
"SUO",4,15,3,"CIRCO",1
"NIA",5,15,3,"CIRCO",1
"MO",6,15,3,"CIRCO",1
"NON",1,13,4,"CIRCO",1
"E",2,13,4,"CIRCO",1
"RA",3,13,4,"CIRCO",1
"SU",4,13,4,"CIRCO",1
"PER",5,13,4,"CIRCO",1
"BO",6,13,4,"CIRCO",1
"LO",1,1,5,"CIRCO",1
"ROM",2,1,5,"CIRCO",1
"PE",3,1,5,"CIRCO",1
"DI",4,1,5,"CIRCO",1
"NUO",5,1,5,"CIRCO",1
"VO",6,1,5,"CIRCO",1
"SO",1,19,6,"CIRCO",1
"VEN",2,19,6,"CIRCO",1
"TE",3,19,6,"CIRCO",1
"MI",4,19,6,"CIRCO",1
"LA",5,19,6,"CIRCO",1
"VO",6,19,6,"CIRCO",1
"LI",1,3,7,"CIRCO",1
"PREN",2,3,7,"CIRCO",1
"DE",3,3,7,"CIRCO",1
"MA",4,3,7,"CIRCO",1
"RI",5,3,7,"CIRCO",1
"NO",6,3,7,"CIRCO",1
"MAN",1,23,8,"CIRCO",1
"GIO",2,23,8,"CIRCO",1
"IO",3,23,8,"CIRCO",1
"LA",4,23,8,"CIRCO",1
"TOR",5,23,8,"CIRCO",1
"TA",6,23,8,"CIRCO",1
"IL",1,9,9,"CIRCO",1
"CIR",2,9,9,"CIRCO",1
"CO",3,9,9,"CIRCO",1
"SE",4,9,9,"CIRCO",1
"NE",5,9,9,"CIRCO",1
"VA",6,9,9,"CIRCO",1
"AT",1,7,10,"CIRCO",1
"TAC",2,7,10,"CIRCO",1
"CA",3,7,10,"CIRCO",1
"LA",4,7,10,"CIRCO",1
"RUS",5,7,10,"CIRCO",1
"SIA",6,7,10,"CIRCO",1
"TU",1,11,11,"CIRCO",1
"LE",2,11,11,"CIRCO",1
"DAI",3,11,11,"CIRCO",1
"UN",4,11,11,"CIRCO",1
"POS",5,11,11,"CIRCO",1
"TER",6,11,11,"CIRCO",1
"MI",1,5,12,"CIRCO",1
"CHE",2,5,12,"CIRCO",1
"LE",3,5,12,"CIRCO",1
"LO",4,5,12,"CIRCO",1
"MAN",5,5,12,"CIRCO",1
"GIA",6,5,12,"CIRCO",1
