"SYLL","WP","TYPE","ORDER","TARGET","PRESENT"
"TA",1,0,1,"VOGLIO",1
"LO",2,0,1,"VOGLIO",1
"TA",3,0,1,"VOGLIO",1
"MA",4,0,1,"VOGLIO",1
"TU",5,0,1,"VOGLIO",1
"VAN",6,0,1,"VOGLIO",1
"VO",1,0,2,"VOGLIO",1
"GLIO",2,0,2,"VOGLIO",1
"CHE",3,0,2,"VOGLIO",1
"LI",4,0,2,"VOGLIO",1
"VAI",5,0,2,"VOGLIO",1
"MA",6,0,2,"VOGLIO",1
"TI",1,0,3,"VOGLIO",1
"MI",2,0,3,"VOGLIO",1
"PI",3,0,3,"VOGLIO",1
"LÌ",4,0,3,"VOGLIO",1
NA,5,0,3,"VOGLIO",1
"DO",6,0,3,"VOGLIO",1
"LA",1,0,4,"VOGLIO",1
"TE",2,0,4,"VOGLIO",1
"TU",3,0,4,"VOGLIO",1
"MIEI",4,0,4,"VOGLIO",1
"PAR",5,0,4,"VOGLIO",1
"VA",6,0,4,"VOGLIO",1
"BUT",1,0,5,"VOGLIO",1
"CE",2,0,5,"VOGLIO",1
"LI",3,0,5,"VOGLIO",1
"SIC",4,0,5,"VOGLIO",1
"SI",5,0,5,"VOGLIO",1
"MAN",6,0,5,"VOGLIO",1
"CAR",1,0,6,"VOGLIO",1
"TIA",2,0,6,"VOGLIO",1
"LE",3,0,6,"VOGLIO",1
"RES",4,0,6,"VOGLIO",1
"NUO",5,0,6,"VOGLIO",1
"BRO",6,0,6,"VOGLIO",1
"LA",1,0,7,"VOGLIO",1
"CA",2,0,7,"VOGLIO",1
"DI",3,0,7,"VOGLIO",1
"VI",4,0,7,"VOGLIO",1
"I",5,0,7,"VOGLIO",1
"VA",6,0,7,"VOGLIO",1
"COM",1,0,8,"VOGLIO",1
"I",2,0,8,"VOGLIO",1
"CROL",3,0,8,"VOGLIO",1
"VA",4,0,8,"VOGLIO",1
"GIA",5,0,8,"VOGLIO",1
"SAL",6,0,8,"VOGLIO",1
"CON",1,0,9,"VOGLIO",1
"RI",2,0,9,"VOGLIO",1
"SA",3,0,9,"VOGLIO",1
"FAI",4,0,9,"VOGLIO",1
"GIO",5,0,9,"VOGLIO",1
"GLIA",6,0,9,"VOGLIO",1
"IL",1,0,10,"VOGLIO",1
"TI",2,0,10,"VOGLIO",1
"TU",3,0,10,"VOGLIO",1
"SBA",4,0,10,"VOGLIO",1
"A",5,0,10,"VOGLIO",1
"VO",6,0,10,"VOGLIO",1
"SE",1,0,11,"VOGLIO",1
"PREN",2,0,11,"VOGLIO",1
"MO",3,0,11,"VOGLIO",1
"NON",4,0,11,"VOGLIO",1
"DE",5,0,11,"VOGLIO",1
"LO",6,0,11,"VOGLIO",1
"LU",1,0,12,"VOGLIO",1
"NO",2,0,12,"VOGLIO",1
"SCRI",3,0,12,"VOGLIO",1
"SAI",4,0,12,"VOGLIO",1
"LA",5,0,12,"VOGLIO",1
"NI",6,0,12,"VOGLIO",1
